-23° -30' -55.3846''	-51° -43' -4.0480''
-23° -30' -56.8924''	-51° -43' -4.3128''
-23° -30' -58.4955''	-51° -43' -4.5610''
-23° -31' -0.1652''	-51° -43' -4.8117''
-23° -31' -1.6498''	-51° -43' -5.0550''
-23° -31' -3.1495''	-51° -43' -5.3630''
-23° -31' -4.6528''	-51° -43' -5.6950''
-23° -31' -6.1933''	-51° -43' -5.9497''
-23° -31' -8.0160''	-51° -43' -6.3232''
-23° -31' -9.3854''	-51° -43' -6.5710''
-23° -31' -10.8957''	-51° -43' -6.8742''
-23° -31' -12.3252''	-51° -43' -7.1478''
-23° -31' -14.0077''	-51° -43' -7.4173''
-23° -31' -15.4518''	-51° -43' -7.6246''
-23° -31' -17.0189''	-51° -43' -7.9156''
-23° -31' -18.5588''	-51° -43' -8.2229''
-23° -31' -20.2303''	-51° -43' -8.5139''
-23° -31' -21.6759''	-51° -43' -8.8052''
-23° -31' -23.2424''	-51° -43' -9.1108''
-23° -31' -24.7491''	-51° -43' -9.3642''
-23° -31' -26.3562''	-51° -43' -9.6810''
-23° -31' -27.8545''	-51° -43' -9.9736''
-23° -31' -29.3806''	-51° -43' -10.2259''
-23° -31' -30.8930''	-51° -43' -10.5898''
-23° -31' -32.4617''	-51° -43' -10.8737''
-23° -31' -34.1066''	-51° -43' -11.0645''
-23° -31' -35.7439''	-51° -43' -11.3479''
-23° -31' -37.2146''	-51° -43' -11.7033''
-23° -31' -38.7562''	-51° -43' -11.6569''
-23° -31' -40.3788''	-51° -43' -11.2116''
-23° -31' -41.8576''	-51° -43' -10.8618''
-23° -31' -43.3763''	-51° -43' -10.5494''
-23° -31' -44.9538''	-51° -43' -10.2460''
-23° -31' -46.4168''	-51° -43' -9.9669''
-23° -31' -47.9982''	-51° -43' -9.5876''
-23° -31' -49.3297''	-51° -43' -8.7054''
-23° -31' -50.5768''	-51° -43' -7.6775''
-23° -31' -51.8683''	-51° -43' -6.6457''
-23° -31' -53.1621''	-51° -43' -5.6809''
-23° -31' -54.5123''	-51° -43' -4.6983''
-23° -31' -55.5109''	-51° -43' -3.3475''
-23° -31' -56.2005''	-51° -43' -1.8197''
-23° -31' -56.9206''	-51° -43' -0.3708''
-23° -31' -57.6587''	-51° -42' -58.9177''
-23° -31' -58.4811''	-51° -42' -57.4724''
-23° -31' -59.2293''	-51° -42' -55.9365''
-23° -31' -59.9590''	-51° -42' -54.5189''
-23° -32' -0.7705''	-51° -42' -53.0645''
-23° -32' -1.5107''	-51° -42' -51.5975''
-23° -32' -2.3634''	-51° -42' -50.0678''
-23° -32' -3.1108''	-51° -42' -48.5230''
-23° -32' -3.8546''	-51° -42' -47.0154''
-23° -32' -4.6756''	-51° -42' -45.5242''
-23° -32' -5.4832''	-51° -42' -43.9589''
-23° -32' -6.1894''	-51° -42' -42.5490''
-23° -32' -6.9576''	-51° -42' -41.0294''
-23° -32' -7.7685''	-51° -42' -39.5618''
-23° -32' -8.5392''	-51° -42' -38.1542''
-23° -32' -9.3077''	-51° -42' -36.6904''
-23° -32' -10.1275''	-51° -42' -35.1461''
-23° -32' -10.9307''	-51° -42' -33.6450''
-23° -32' -11.6739''	-51° -42' -32.1803''
-23° -32' -12.4800''	-51° -42' -30.8009''
-23° -32' -13.5723''	-51° -42' -29.4727''
-23° -32' -14.5250''	-51° -42' -28.2559''
-23° -32' -15.5033''	-51° -42' -26.9053''
-23° -32' -16.5527''	-51° -42' -25.5379''
-23° -32' -17.5174''	-51° -42' -24.2048''
-23° -32' -18.4686''	-51° -42' -22.9250''
-23° -32' -19.4843''	-51° -42' -21.5600''
-23° -32' -20.4739''	-51° -42' -20.2284''
-23° -32' -21.4789''	-51° -42' -18.8854''
-23° -32' -22.4704''	-51° -42' -17.5196''
-23° -32' -23.4470''	-51° -42' -16.2382''
-23° -32' -24.6100''	-51° -42' -14.6576''
-23° -32' -25.4013''	-51° -42' -13.5180''
-23° -32' -26.4068''	-51° -42' -12.1695''
-23° -32' -27.4164''	-51° -42' -10.8502''
-23° -32' -28.4170''	-51° -42' -9.5300''
-23° -32' -29.3793''	-51° -42' -8.2104''
-23° -32' -30.3831''	-51° -42' -6.8476''
-23° -32' -31.4035''	-51° -42' -5.5174''
-23° -32' -32.4281''	-51° -42' -4.2280''
-23° -32' -33.4494''	-51° -42' -2.9288''
-23° -32' -34.4662''	-51° -42' -1.6137''
-23° -32' -35.5227''	-51° -42' -0.2673''
-23° -32' -36.5683''	-51° -41' -58.9856''
-23° -32' -37.5920''	-51° -41' -57.6456''
-23° -32' -38.6139''	-51° -41' -56.3559''
-23° -32' -39.5717''	-51° -41' -55.0952''
-23° -32' -40.5864''	-51° -41' -53.8297''
-23° -32' -41.3855''	-51° -41' -52.3888''
-23° -32' -42.0351''	-51° -41' -50.8460''
-23° -32' -42.7886''	-51° -41' -49.3754''
-23° -32' -43.5489''	-51° -41' -47.8718''
-23° -32' -44.2610''	-51° -41' -46.2888''
-23° -32' -45.0302''	-51° -41' -44.7617''
-23° -32' -45.7768''	-51° -41' -43.1920''
-23° -32' -46.5362''	-51° -41' -41.7532''
-23° -32' -47.3293''	-51° -41' -40.2598''
-23° -32' -48.0981''	-51° -41' -38.7540''
-23° -32' -48.8253''	-51° -41' -37.2547''
-23° -32' -49.5147''	-51° -41' -35.8052''
-23° -32' -50.2930''	-51° -41' -34.2606''
-23° -32' -50.8864''	-51° -41' -32.7281''
-23° -32' -51.2854''	-51° -41' -31.0644''
-23° -32' -51.4820''	-51° -41' -29.2843''
-23° -32' -51.8430''	-51° -41' -27.6801''
-23° -32' -52.2675''	-51° -41' -25.9895''
-23° -32' -52.6864''	-51° -41' -24.2842''
-23° -32' -53.1341''	-51° -41' -22.5290''
-23° -32' -53.5372''	-51° -41' -20.9273''
-23° -32' -53.8514''	-51° -41' -19.2455''
-23° -32' -53.9645''	-51° -41' -17.5482''
-23° -32' -54.0863''	-51° -41' -15.9448''
-23° -32' -54.2174''	-51° -41' -14.2279''
-23° -32' -54.4381''	-51° -41' -12.4769''
-23° -32' -54.6172''	-51° -41' -10.7891''
-23° -32' -54.8111''	-51° -41' -9.0263''
-23° -32' -54.9550''	-51° -41' -7.3344''
-23° -32' -55.0807''	-51° -41' -5.6597''
-23° -32' -55.2478''	-51° -41' -3.7266''
-23° -32' -55.4028''	-51° -41' -2.1699''
-23° -32' -55.5161''	-51° -41' -0.5071''
-23° -32' -55.6758''	-51° -40' -58.7754''
-23° -32' -55.8504''	-51° -40' -57.0587''
-23° -32' -56.0818''	-51° -40' -55.4072''
-23° -32' -56.3056''	-51° -40' -53.6755''
-23° -32' -56.4864''	-51° -40' -52.0194''
-23° -32' -56.6780''	-51° -40' -50.3485''
-23° -32' -56.8219''	-51° -40' -48.7359''
-23° -32' -56.9825''	-51° -40' -46.9535''
-23° -32' -57.1770''	-51° -40' -45.2504''
-23° -32' -57.3435''	-51° -40' -43.3837''
-23° -32' -57.5130''	-51° -40' -41.8298''
-23° -32' -57.6909''	-51° -40' -40.1278''
